n,type,rep,greedy_len,greedy_time,christo_len,christo_time,opt_len,opt_time,lb
100,clustered,13,5.223214,0.001070,4.425917,0.068042,,,2.908829
100,clustered,14,4.220152,0.001405,3.916111,0.062564,,,2.633633
100,clustered,15,4.417505,0.001098,3.942813,0.050096,,,2.568108
100,clustered,16,4.686748,0.001070,4.237443,0.081741,,,2.816119
100,clustered,17,4.582530,0.001112,3.956859,0.082477,,,2.817309
100,clustered,18,3.313385,0.001053,3.030520,0.075147,,,2.170104
100,clustered,19,4.493366,0.001071,3.957643,0.045819,,,2.712194
100,clustered,20,4.970572,0.001022,4.349704,0.048634,,,3.037848
100,clustered,21,3.721717,0.001029,3.420061,0.088804,,,2.408784
100,clustered,22,4.178314,0.001052,3.848088,0.078604,,,2.836391
100,clustered,23,4.802335,0.001515,4.195735,0.054679,,,2.782034
100,clustered,24,4.615479,0.001034,4.211406,0.143377,,,2.750109
100,clustered,25,4.387358,0.001047,3.880253,0.053396,,,2.631886
100,clustered,26,4.691075,0.001044,4.199062,0.078944,,,2.964211
100,clustered,27,4.741429,0.001060,4.000096,0.038776,,,2.802295
100,clustered,28,4.113470,0.001070,3.711686,0.051907,,,2.652400
100,clustered,29,4.986215,0.001057,3.762482,0.069361,,,2.660188
100,clustered,30,4.500951,0.001054,3.878919,0.058496,,,2.680994
100,clustered,31,4.818822,0.001048,4.411875,0.042581,,,3.073485
